,name,length,oneway,lanes,maxspeed
367,Fourth Avenue,107.154,False,3,50
368,Francis Street,468.91700000000003,True,,
369,Frank Sherwin Bridge,72.971,True,3,50
370,Frankfort Cottages,417.53,False,3,50
371,Frederick Court,195.368,False,2,30
372,Frenchman's Lane,87.67999999999999,True,3,50
373,Friary Avenue,53.158,True,3,50
374,Friary Court,53.131,True,2,30
375,Friary Grove,198.562,False,2,50
376,Fumbally Lane,144.632,True,2,50
377,Gaelic Street,103.42,False,3,30
378,Galmoy Road,194.726,False,2,30
379,Garda Terrace,189.59199999999998,False,3,50
380,Garden Lane,151.508,False,,
381,Gardiner Place,331.654,False,,
382,Gardiner Street Lower,1119.91,True,3,50
383,Gardiner Street Middle,355.022,False,,
384,Gardiner Street Upper,645.192,False,,
385,Geoffrey Keating Road,252.84999999999997,False,,
386,George's Hill,191.59199999999998,False,,
387,George's Lane,127.643,True,4,50
388,George's Place,289.91999999999996,False,,
389,George's Quay,293.626,True,4,50
390,Geraldine Street,445.844,False,3,50
391,Gilbert Road,270.938,False,2,50
392,Glenard Avenue,99.174,False,4,50
393,Glenbeigh Park,317.946,False,,
394,Glenbeigh Road,831.89,False,,
395,Glencar Road,103.44200000000001,False,2,30
396,Glengariff Crescent,33.25,False,3,50
397,Glengarriff Parade,385.175,True,2,50
398,Glenmalure Park,170.392,False,2,30
399,Glenmore Road,155.468,False,2,50
400,Gloucester Place Lower,91.448,False,2,50
401,Gloucester Place North,189.24199999999996,False,2,50
402,Gloucester Street South,375.528,False,2,30
403,Glovers Alley,182.486,False,2,50
404,Godfrey Place,73.12,False,2,50
405,Golden Lane,348.08799999999997,False,2,30
406,Goldsmith Street,487.85800000000006,True,2,50
407,Grafton Street,235.87099999999998,True,2,50
408,Graham Court,273.624,False,2,30
409,Graham's Row,91.05799999999999,False,2,30
410,Granby Row,117.11600000000001,True,2,30
411,Grand Canal Place,600.986,False,2,30
412,Grand Canal Street Lower,257.52,False,2,30
413,Grangegorman Lower,1208.5680000000002,False,2,30
414,Grangegorman Upper,724.3400000000001,True,2,50
415,Grant's Row,359.87199999999996,False,2,50
416,Grantham Street,437.328,False,2,30
417,Grattan Bridge,83.026,True,,
418,Grattan Court East,281.66200000000003,False,,
419,Grattan Parade,225.322,False,,
420,Grattan Place,82.554,False,2,30
421,Grattan Street,351.188,False,2,30
422,Gray Square,78.77799999999999,False,2,30
423,Gray Street,150.741,True,2,30
424,Great Charles Street North,619.342,True,2,30
425,Great Denmark Street,442.34,False,2,30
426,Great Strand Street,319.421,True,,
427,Great Western Avenue,69.55799999999999,True,2,30
428,Great Western Square,855.5360000000001,False,2,30
429,Great Western Villas,341.326,False,2,30
430,Greek Street,180.011,True,2,30
431,Green Street,173.98700000000002,True,2,30
432,Greenore Court,130.851,True,2,30
433,Greenore Terrace,113.17399999999999,False,2,30
434,Greenville Avenue,519.216,False,2,30
435,Greenville Parade,469.952,False,2,30
436,Grenville Street,290.744,False,2,30
437,Guild Street,685.306,False,,
438,Guildford Place,211.858,False,2,30
439,Haddington Lane,302.40999999999997,False,2,30
440,Haddington Road,392.06,False,2,30
441,Halliday Road,326.33399999999995,False,2,30
442,Halliday Square,413.6120000000001,False,2,30
443,Halston Street,411.755,True,2,30
444,Hamilton Street,281.922,False,2,30
445,Hammond Lane,126.365,True,2,30
446,Hampton Green,336.37,False,2,30
447,Hampton Square,37.276,False,2,30
448,Hanbury Lane,178.171,True,2,30
449,Hanover Lane,42.768,False,2,30
450,Hanover Square,49.8,False,2,30
451,Hanover Street East,801.522,False,2,30
452,Hanover Street West,117.99900000000001,True,,
453,Harbourmaster Place,464.1550000000002,False,2,30
454,Harcourt Street,443.9390000000001,True,2,30
455,Hardwicke Place,191.744,False,2,50
